Player,FantasyTeam,OlympicTeam
Auston Matthews,That's So Svech,USA
Kyle Connor,That's So Svech,USA
Macklin Celebrini,That's So Svech,CAN
Vincent Trocheck,That's So Svech,USA
Tomas Hertl,That's So Svech,CZE
Quinn Hughes,That's So Svech,USA
Rasmus Andersson,That's So Svech,SWE
Colton Parayko,That's So Svech,CAN
Travis Sanheim,That's So Svech,CAN
Logan Thompson,That's So Svech,CAN
Victor Hedman,That's So Svech,SWE
Logan Cooley,That's So Svech,USA
Filip Forsberg,Janie's Got A Puck,SWE
Mikko Rantanen,Janie's Got A Puck,FIN
Tage Thompson,Janie's Got A Puck,USA
Clayton Keller,Janie's Got A Puck,USA
Brandon Hagel,Janie's Got A Puck,CAN
Timo Meier,Janie's Got A Puck,SUI
Brad Marchand,Janie's Got A Puck,CAN
Juraj Slafkovsky,Janie's Got A Puck,SVK
Cale Makar,Janie's Got A Puck,CAN
Jake Sanderson,Janie's Got A Puck,USA
Bo Horvat,Janie's Got A Puck,CAN
Leo Carlsson,Janie's Got A Puck,SWE
Matt Boldy,Sega Genesis NHL '94 All Stars,USA
Alex Tuch,Sega Genesis NHL '94 All Stars,USA
Wyatt Johnston,Sega Genesis NHL '94 All Stars,CAN
Tom Wilson,Sega Genesis NHL '94 All Stars,CAN
Elias Pettersson,Sega Genesis NHL '94 All Stars,SWE
J.T. Miller,Sega Genesis NHL '94 All Stars,USA
Moritz Seider,Sega Genesis NHL '94 All Stars,GER
Josh Morrissey,Sega Genesis NHL '94 All Stars,CAN
Thomas Harley,Sega Genesis NHL '94 All Stars,CAN
Charlie McAvoy,Sega Genesis NHL '94 All Stars,USA
Connor Hellebuyck,Sega Genesis NHL '94 All Stars,USA
Filip Gustavsson,Sega Genesis NHL '94 All Stars,SWE
Shea Theodore,Sega Genesis NHL '94 All Stars,CAN
Matthew Tkachuk,Sega Genesis NHL '94 All Stars,USA
Jack Hughes,Sega Genesis NHL '94 All Stars,USA
Nathan MacKinnon,Winos Chasing Ginos,CAN
Tim Stutzle,Winos Chasing Ginos,GER
Adrian Kempe,Winos Chasing Ginos,SWE
Dylan Larkin,Winos Chasing Ginos,USA
Eeli Tolvanen,Winos Chasing Ginos,FIN
Alexander Wennberg,Winos Chasing Ginos,SWE
Jesper Bratt,Winos Chasing Ginos,SWE
Kevin Fiala,Winos Chasing Ginos,SUI
Darcy Kuemper,Winos Chasing Ginos,CAN
Leon Draisaitl,Is Bobby Orr Available?,GER
Brady Tkachuk,Is Bobby Orr Available?,USA
Martin Necas,Is Bobby Orr Available?,CZE
Mark Stone,Is Bobby Orr Available?,CAN
Rickard Rakell,Is Bobby Orr Available?,SWE
Erik Karlsson,Is Bobby Orr Available?,SWE
Brock Faber,Is Bobby Orr Available?,USA
Adam Larsson,Is Bobby Orr Available?,SWE
Jeremy Swayman,Is Bobby Orr Available?,USA
Joel Eriksson Ek,Is Bobby Orr Available?,SWE
Artturi Lehkonen,Is Bobby Orr Available?,FIN
Anton Lundell,Is Bobby Orr Available?,FIN
David Pastrnak,Tifftastic Voyagers,CZE
Jake Guentzel,Tifftastic Voyagers,USA
Sidney Crosby,Tifftastic Voyagers,CAN
Mika Zibanejad,Tifftastic Voyagers,SWE
Lucas Raymond,Tifftastic Voyagers,SWE
Jackson LaCombe,Tifftastic Voyagers,USA
Miro Heiskanen,Tifftastic Voyagers,FIN
Roman Josi,Tifftastic Voyagers,SUI
Devon Toews,Tifftastic Voyagers,CAN
William Nylander,Tkachuk Norris,SWE
Jack Eichel,Tkachuk Norris,USA
Sam Reinhart,Tkachuk Norris,CAN
Seth Jarvis,Tkachuk Norris,CAN
Nick Suzuki,Tkachuk Norris,CAN
Chris Kreider,Tkachuk Norris,USA
Zach Werenski,Tkachuk Norris,USA
Jordan Binnington,Tkachuk Norris,CAN
Sam Bennett,Tkachuk Norris,CAN
Connor McDavid,Stankoven's Army,CAN
Mitch Marner,Stankoven's Army,CAN
Sebastian Aho,Stankoven's Army,FIN
Nico Hischier,Stankoven's Army,SUI
Roope Hintz,Stankoven's Army,FIN
Rasmus Dahlin,Stankoven's Army,SWE
Jake Walman,Stankoven's Army,CAN
Jake Oettinger,Stankoven's Army,USA
Juuse Saros,Stankoven's Army,FIN
